substance,repetition,area,mean,std,min,max
C,1,602.918,0.362,0.081,0.197,0.69
C,2,6657.009,0.39,0.065,0.223,1.397
C,3,4925.02,0.361,0.06,0.215,0.633
C,4,3021.638,0.58,0.096,0.334,0.866
C,5,11236.063,0.375,0.05,0.224,0.659
DTT,1,3752.884,0.273,0.044,0.164,0.455
DTT,2,6670.039,0.273,0.041,0.167,0.418
DTT,3,5247.143,0.262,0.041,0.149,0.488
DTT,4,2597.066,0.283,0.041,0.178,0.475
DTT,5,1912.344,0.254,0.042,0.14,0.484
H,1,2354.817,0.349,0.049,0.223,0.553
H,2,5293.884,0.359,0.055,0.237,0.615
H,3,2394.001,0.401,0.079,0.252,0.707
H,4,3761.381,0.565,0.13,0.265,1.015
H,5,4575.861,0.351,0.087,0.217,0.844
H2O,1,4229.405,0.296,0.057,0.167,0.544
H2O,2,1696.696,0.24,0.052,0.136,0.504
H2O,3,1229.106,0.236,0.042,0.137,0.46
H2O,4,3198.918,0.243,0.038,0.141,0.449
H2O,5,2428.956,0.251,0.048,0.132,0.52
H2O2,1,1386.524,0.629,0.156,0.211,1.262
H2O2,2,6202.6,0.3,0.062,0.15,0.703
H2O2,3,907.49,1.02,0.239,0.27,2.262
H2O2,4,895.44,0.374,0.058,0.227,0.684
H2O2,5,1405.669,0.333,0.065,0.181,0.8
R,1,3821.344,0.285,0.077,0.157,0.685
R,2,2976.352,0.26,0.048,0.155,0.522
R,3,1128.395,0.276,0.059,0.114,0.599
R,4,3790.51,0.256,0.06,0.129,0.564
R,5,9424.219,0.251,0.039,0.141,0.468
Tween,1,947.153,0.437,0.127,0.258,0.998
Tween,2,2290.53,0.424,0.083,0.213,0.751
Tween,3,919.126,0.406,0.067,0.242,0.656
Tween,4,1983.284,0.315,0.043,0.194,0.495
Tween,5,4449.464,0.272,0.029,0.195,0.432
